Part ID,Reihe,PART Offiziell,Synonym 1,Synonym 2,Synonym 3,English 1,English 2,Turkish,Arabic,Spanish,Italian
,1,Frontstoßstange,Frontschürze,vordere Plastikstoßstange,Frontpartie,front bumper,front plastic bumper,ön tampon,masadd amami,parachoques delantero,paraurti anteriore
,1,Stoßstangenabdeckung,Stoßfängerverkleidung,vordere Plastikabdeckung,Plastikfront,bumper cover,front plastic cover,tampon kapağı,ghita al-masadd,cubierta del parachoques,copertura paraurti
,1,Kühlergrill,Frontgitter,Plastikgitter,Kühlergitter,grille,front grate,ön panjur,shabak amami,parrilla delantera,griglia del radiatore
,1,Frontlippe / Spoilerlippe,Bugspoiler,Gummilippe,untere Spoilerkante,front lip,bottom lip,ön lip,shiffa amamiya,labio delantero,labbro anteriore
,1,Motorhaube,Fronthaube,vorderer Deckel,vordere Klappe,hood,front lid,motor kaputu,ghita al-muharrik,capó,cofano motore
,1,Frontscheinwerfer links,Hauptscheinwerfer Links,linkes Vorderlicht,linkes Vorderlicht,left headlight,left front light,sol ön far,misbah amami aysar,faro delantero izquierdo,faro anteriore sinistro
,1,Frontscheinwerfer rechts,Hauptscheinwerfer Rechts,rechtes Vorderlicht,rechtes Vorderlicht,right headlight,right front light,sağ ön far,misbah amami ayman,faro delantero derecho,faro anteriore destro
,1,Nebelscheinwerfer,Nebellampe,Zusatzlicht unten,Nebellicht,fog light,bottom light,sis farı,misbah dhabab,faro antiniebla,fendinebbia
,1,Tagfahrlicht,Tagfahrleuchte,LED-Streifen,LED Licht,daytime running light,led strip,gündüz farı,ida'a nahariya,luz de circulación diurna,luce di marcia diurna
,1,Blinker vorne,Fahrtrichtungsanzeiger Vorne,vorderes Blinklicht,vorderer Blinker,front turn signal,front blinker,ön sinyal,isharat in'itaf amamiya,intermitente delantero,indicatore di direzione anteriore
,1,Radlauf vorne links,Radkasten Vorne Links,linke Kotflügelkante,Blech überm linken Vorderreifen,left front wheel arch,left front wheel edge,sol ön çamurluk ağzı,qaws ajala amami aysar,paso de rueda delantero izquierdo,passaruota anteriore sinistro
,1,Radlauf vorne rechts,Radkasten Vorne Rechts,rechte Kotflügelkante,Blech überm rechten Vorderreifen,right front wheel arch,right front wheel edge,sağ ön çamurluk ağzı,qaws ajala amami ayman,paso de rueda delantero derecho,passaruota anteriore destro
,1,Kotflügel vorne links,Vorderes Seitenteil Links,linkes vorderes Blech,linke vordere Autoseite,left front fender,left front metal piece,sol ön çamurluk,rafraf amami aysar,aleta delantera izquierda,parafango anteriore sinistro
,1,Kotflügel vorne rechts,Vorderes Seitenteil Rechts,rechtes vorderes Blech,rechte vordere Autoseite,right front fender,right front metal piece,sağ ön çamurluk,rafraf amami ayman,aleta delantera derecha,parafango anteriore destro
,1,Frontscheibe,Windschutzscheibe,vorderes Fenster,vorderes Glas,windshield,front glass,ön cam,zujaj amami,parabrisas,parabrezza
,1,Motorhaubenschloss,Haubenverriegelung,vorderes Schloss,Haubenverschluss,hood latch,hood lock,kaput kilidi,qufl ghita al-muharrik,cerradura del capó,serratura del cofano
,2,Kühler,Wasserkühler,Motorkühler,Wassertank,radiator,water cooler,radyatör,radiyatir,radiador,radiatore
,2,Ladeluftkühler,Intercooler,Turbokühler,Kühlrippen,intercooler,turbo cooler,intercooler,mubarrid hawa ash-shahn,intercooler,intercooler
,2,Klimakondensator,Klimakühler,Klimaradiator,Klimakühler,ac condenser,ac radiator,klima radyatörü,mukaththif al-mukayyif,condensador del aire acondicionado,condensatore del climatizzatore
,2,Crashträger vorne,Frontquerträger,vorderer Aufprallschutz,vordere Stange,front crash bar,front crash support,ön tampon demiri,di'amat saddam amamiya,traviesa delantera,traversa anteriore
,1,Vordertür links,Fahrertür,linke Vordertür,Fahrertüre,left front door,driver door,sol ön kapı,bab amami aysar,puerta delantera izquierda,portiera anteriore sinistra
,1,Hintertür links,Fondtür Links,linke Hintertür,linke Hintertüre,left rear door,left back door,sol arka kapı,bab khalfi aysar,puerta trasera izquierda,portiera posteriore sinistra
,1,Außenspiegel links,Seitenspiegel Links,linker Rückspiegel,Spiegel Fahrerseite,left side mirror,driver side mirror,sol yan ayna,mir'at janibiya yusra,espejo retrovisor izquierdo,specchietto retrovisore sinistro
,1,Türgriff links,Türöffner Links,linke Türklinke,linker äußerer Türgriff,left door handle,left outside handle,sol kapı kolu,miqbad bab aysar,manilla de puerta izquierda,maniglia della portiera sinistra
,1,Seitenschweller links,Schweller Links,linke Einstiegsleiste,linke Einstiegskante,left side skirt,left bottom edge,sol marşpiyel,ataba janibiya yusra,faldón lateral izquierdo,minigonna laterale sinistra
,1,Seitenwand links,Karosserieflanke Links,linkes hinteres Blech,linke hintere Autoseite,left quarter panel,left back panel,sol yan panel,lawh janibi aysar,panel lateral izquierdo,pannello laterale sinistro
,1,Radlauf hinten links,Radkasten Hinten Links,linke hintere Radkante,Blech überm linken Hinterreifen,left rear wheel arch,left back wheel edge,sol arka çamurluk ağzı,qaws ajala khalfi aysar,paso de rueda trasero izquierdo,passaruota posteriore sinistro
,1,Fenster vorne links,Seitenscheibe Vorne Links,linkes Fahrerfenster,Fahrerscheibe,left front window,driver window,sol ön yan cam,nafidha amamiya yusra,ventanilla delantera izquierda,finestrino anteriore sinistro
,1,Fenster hinten links,Seitenscheibe Hinten Links,linkes hinteres Fenster,linke hintere Scheibe,left rear window,left back window,sol arka yan cam,nafidha khalfiya yusra,ventanilla trasera izquierda,finestrino posteriore sinistro
